Date,Active Device Installs,Notes
2020-10-23,560,
2020-10-24,570,
2020-10-25,564,
2020-10-26,558,
2020-10-27,555,
2020-10-28,567,
2020-10-29,566,
2020-10-30,567,
2020-10-31,564,
2020-11-01,563,
2020-11-02,572,
2020-11-03,559,
2020-11-04,566,
2020-11-05,564,
2020-11-06,568,
2020-11-07,566,
2020-11-08,569,
2020-11-09,560,
2020-11-10,568,
2020-11-11,560,
2020-11-12,569,
2020-11-13,570,
2020-11-14,577,
2020-11-15,564,
2020-11-16,561,
2020-11-17,572,
2020-11-18,568,
2020-11-19,568,
2020-11-20,580,
2020-11-21,575,
2020-11-22,591,
2020-11-23,589,
2020-11-24,593,
2020-11-25,610,
2020-11-26,615,
2020-11-27,604,
2020-11-28,617,
2020-11-29,613,
2020-11-30,633,
2020-12-01,625,
2020-12-02,631,
2020-12-03,635,
2020-12-04,624,
2020-12-05,635,
2020-12-06,630,
2020-12-07,638,
2020-12-08,638,
2020-12-09,643,
2020-12-10,665,
2020-12-11,645,
2020-12-12,641,
2020-12-13,654,
2020-12-14,642,
2020-12-15,652,
2020-12-16,654,
2020-12-17,643,
2020-12-18,652,
2020-12-19,665,
2020-12-20,664,
2020-12-21,655,
2020-12-22,658,
2020-12-23,659,
2020-12-24,653,
2020-12-25,650,
2020-12-26,646,
2020-12-27,655,
2020-12-28,676,
2020-12-29,661,
2020-12-30,664,
2020-12-31,662,
2021-01-01,683,
2021-01-02,681,
2021-01-03,672,
2021-01-04,686,
2021-01-05,691,
2021-01-06,693,Rollout of release: Started rollout of 0.10.0 at 100%.
2021-01-07,711,
2021-01-08,802,
2021-01-09,795,
2021-01-10,797,
2021-01-11,782,
2021-01-12,795,
2021-01-13,808,
2021-01-14,792,
2021-01-15,789,
2021-01-16,794,
2021-01-17,798,
2021-01-18,814,
2021-01-19,791,
2021-01-20,802,
2021-01-21,810,
2021-01-22,815,
2021-01-23,826,
2021-01-24,819,
2021-01-25,833,
2021-01-26,832,
2021-01-27,814,
2021-01-28,834,
2021-01-29,809,
2021-01-30,832,
2021-01-31,823,
2021-02-01,837,
2021-02-02,831,
2021-02-03,841,
2021-02-04,828,
2021-02-05,831,
2021-02-06,841,
2021-02-07,846,
2021-02-08,871,
2021-02-09,853,
2021-02-10,870,
2021-02-11,857,
2021-02-12,865,
2021-02-13,855,
2021-02-14,868,
2021-02-15,858,
2021-02-16,859,
2021-02-17,877,
2021-02-18,872,
2021-02-19,880,
2021-02-20,884,
2021-02-21,862,
2021-02-22,883,
2021-02-23,884,
2021-02-24,883,
2021-02-25,890,
2021-02-26,876,
2021-02-27,884,
2021-02-28,887,
2021-03-01,890,
2021-03-02,892,
2021-03-03,893,
2021-03-04,891,
2021-03-05,888,
2021-03-06,895,
2021-03-07,913,
2021-03-08,894,
2021-03-09,899,
2021-03-10,898,
2021-03-11,891,
2021-03-12,900,
2021-03-13,907,
2021-03-14,890,
2021-03-15,898,
2021-03-16,917,
2021-03-17,904,
2021-03-18,912,
2021-03-19,912,
2021-03-20,918,
2021-03-21,903,
2021-03-22,894,
2021-03-23,908,
2021-03-24,920,
2021-03-25,918,
2021-03-26,905,
2021-03-27,927,
2021-03-28,917,
2021-03-29,944,
2021-03-30,941,
2021-03-31,925,
2021-04-01,910,
2021-04-02,918,
2021-04-03,924,
2021-04-04,921,
2021-04-05,931,
2021-04-06,927,
2021-04-07,925,
2021-04-08,911,
2021-04-09,904,
2021-04-10,896,
2021-04-11,918,
2021-04-12,904,
2021-04-13,908,
2021-04-14,899,
2021-04-15,920,
2021-04-16,911,
2021-04-17,927,
2021-04-18,909,
2021-04-19,915,
2021-04-20,919,
2021-04-21,924,
2021-04-22,899,
2021-04-23,916,
2021-04-24,897,
2021-04-25,904,
2021-04-26,906,
2021-04-27,905,
2021-04-28,904,
2021-04-29,906,
2021-04-30,913,
2021-05-01,910,
2021-05-02,924,
2021-05-03,911,
2021-05-04,917,
2021-05-05,896,
2021-05-06,910,
2021-05-07,888,
2021-05-08,903,
2021-05-09,910,
2021-05-10,899,
2021-05-11,922,
2021-05-12,904,
2021-05-13,930,
2021-05-14,928,
2021-05-15,912,
2021-05-16,899,
2021-05-17,910,
2021-05-18,923,
2021-05-19,922,
2021-05-20,929,
2021-05-21,926,
2021-05-22,929,
2021-05-23,926,
2021-05-24,926,
2021-05-25,945,
2021-05-26,920,
2021-05-27,943,
2021-05-28,948,
2021-05-29,933,
2021-05-30,943,
2021-05-31,936,
2021-06-01,931,
2021-06-02,940,
2021-06-03,943,
2021-06-04,930,
2021-06-05,948,
2021-06-06,940,
2021-06-07,963,
2021-06-08,971,
2021-06-09,950,
2021-06-10,952,
2021-06-11,953,
2021-06-12,946,
2021-06-13,964,
2021-06-14,962,
2021-06-15,982,
2021-06-16,983,
2021-06-17,968,
2021-06-18,969,
2021-06-19,983,
2021-06-20,987,
2021-06-21,1016,
2021-06-22,986,
2021-06-23,1003,
2021-06-24,997,
2021-06-25,1003,
2021-06-26,1007,
2021-06-27,1008,
2021-06-28,1010,
2021-06-29,990,
2021-06-30,979,
2021-07-01,1003,
2021-07-02,1007,
2021-07-03,987,
2021-07-04,991,
2021-07-05,1008,
2021-07-06,997,
2021-07-07,1013,
2021-07-08,1009,
2021-07-09,993,
2021-07-10,1006,
2021-07-11,1001,
2021-07-12,1010,
2021-07-13,1006,
2021-07-14,1016,
2021-07-15,1006,
2021-07-16,1010,
2021-07-17,1021,
2021-07-18,1007,
2021-07-19,993,
2021-07-20,1019,
2021-07-21,996,
2021-07-22,990,
2021-07-23,1005,
2021-07-24,1008,
2021-07-25,1007,
2021-07-26,1005,
2021-07-27,1016,
2021-07-28,1002,
2021-07-29,997,
2021-07-30,987,
2021-07-31,996,
2021-08-01,1004,
2021-08-02,1005,
2021-08-03,993,
2021-08-04,989,
2021-08-05,991,
2021-08-06,992,
2021-08-07,1022,
2021-08-08,977,
2021-08-09,1002,
2021-08-10,1006,
2021-08-11,991,
2021-08-12,1002,
2021-08-13,1017,
2021-08-14,1003,
2021-08-15,1003,
2021-08-16,998,
2021-08-17,1006,
2021-08-18,1027,
2021-08-19,1033,
2021-08-20,1007,
2021-08-21,1011,
2021-08-22,1023,
2021-08-23,1027,
2021-08-24,1031,
2021-08-25,1034,
2021-08-26,1031,
2021-08-27,1040,
2021-08-28,1039,
2021-08-29,1042,
2021-08-30,1057,
2021-08-31,1041,
2021-09-01,1060,
2021-09-02,1049,
2021-09-03,1046,
2021-09-04,1054,
2021-09-05,1054,
2021-09-06,1035,
2021-09-07,1044,
2021-09-08,1045,
2021-09-09,1045,
2021-09-10,1036,
2021-09-11,1033,
2021-09-12,1037,
2021-09-13,1044,
2021-09-14,1054,
2021-09-15,1064,
2021-09-16,1044,
2021-09-17,1055,
2021-09-18,1041,
2021-09-19,1045,
2021-09-20,1037,
2021-09-21,1051,
2021-09-22,1075,
2021-09-23,1060,
2021-09-24,1083,
2021-09-25,1101,
2021-09-26,1104,
2021-09-27,1098,
2021-09-28,1112,
2021-09-29,1131,
2021-09-30,1127,
2021-10-01,1130,
2021-10-02,1117,
2021-10-03,1126,
2021-10-04,1130,
2021-10-05,1147,
2021-10-06,1144,
2021-10-07,1139,
2021-10-08,1144,
2021-10-09,1134,
2021-10-10,1140,
2021-10-11,1138,
2021-10-12,1183,
2021-10-13,1183,
2021-10-14,1164,
2021-10-15,1162,
2021-10-16,1164,
2021-10-17,1163,
2021-10-18,1161,
2021-10-19,1170,
2021-10-20,1160,
2021-10-21,1148,
2021-10-22,1161,
2021-10-23,1145,
2021-10-24,1167,
2021-10-25,1161,
2021-10-26,1152,
2021-10-27,1154,
2021-10-28,1140,
2021-10-29,1157,
2021-10-30,1149,
2021-10-31,1158,
2021-11-01,1168,
2021-11-02,1156,
2021-11-03,1178,
2021-11-04,1158,
2021-11-05,1180,
2021-11-06,1159,
2021-11-07,1160,
2021-11-08,1158,
2021-11-09,1170,
2021-11-10,1165,
2021-11-11,1158,
2021-11-12,1172,
2021-11-13,1165,
2021-11-14,1156,
2021-11-15,1155,
2021-11-16,1158,
2021-11-17,1150,
2021-11-18,1154,
2021-11-19,1155,
2021-11-20,1149,
2021-11-21,1160,
2021-11-22,1151,
2021-11-23,1156,
2021-11-24,1144,
2021-11-25,1154,
2021-11-26,1154,
2021-11-27,1144,
2021-11-28,1159,
2021-11-29,1152,
2021-11-30,1164,
2021-12-01,1145,
2021-12-02,1151,
2021-12-03,1159,
2021-12-04,1150,
2021-12-05,1159,
2021-12-06,1165,
2021-12-07,1146,
2021-12-08,1150,
2021-12-09,1150,
2021-12-10,1144,
2021-12-11,1145,
2021-12-12,1142,
2021-12-13,1153,
2021-12-14,1157,
2021-12-15,1145,
2021-12-16,1154,
2021-12-17,1154,
2021-12-18,1152,
2021-12-19,1153,
2021-12-20,1187,
2021-12-21,1159,
2021-12-22,1179,
2021-12-23,1172,
2021-12-24,1168,
2021-12-25,1194,
2021-12-26,1192,
2021-12-27,1192,
2021-12-28,1195,
2021-12-29,1203,
2021-12-30,1195,
2021-12-31,1208,
2022-01-01,1208,
2022-01-02,1205,
2022-01-03,1221,
2022-01-04,1194,
2022-01-05,1223,
2022-01-06,1208,
2022-01-07,1214,
2022-01-08,1212,
2022-01-09,1214,
2022-01-10,1211,
2022-01-11,1201,
2022-01-12,1229,
2022-01-13,1208,
2022-01-14,1226,
2022-01-15,1187,
2022-01-16,1205,
2022-01-17,1210,
2022-01-18,1223,
2022-01-19,1217,
2022-01-20,1229,
2022-01-21,1219,
2022-01-22,1202,
2022-01-23,1226,
2022-01-24,1197,
2022-01-25,1195,
2022-01-26,1221,
2022-01-27,1217,
2022-01-28,1198,
2022-01-29,1219,
2022-01-30,1211,
2022-01-31,1214,
2022-02-01,1234,
2022-02-02,1222,
2022-02-03,1222,
2022-02-04,1215,
2022-02-05,1244,
2022-02-06,1244,
2022-02-07,1256,
2022-02-08,1237,
2022-02-09,1251,
2022-02-10,1253,
2022-02-11,1255,
2022-02-12,1255,
2022-02-13,1273,
2022-02-14,1275,
2022-02-15,1248,
2022-02-16,1265,
2022-02-17,1264,
2022-02-18,1255,
2022-02-19,1274,
2022-02-20,1264,
2022-02-21,1273,
2022-02-22,1287,
2022-02-23,1274,
2022-02-24,1276,
2022-02-25,1282,
2022-02-26,1258,
2022-02-27,1277,
2022-02-28,1277,
2022-03-01,1281,
2022-03-02,1291,
2022-03-03,1270,
2022-03-04,1308,
2022-03-05,1276,
2022-03-06,1292,
2022-03-07,1296,
2022-03-08,1316,
2022-03-09,1307,
