timestamp,downloads,stars
2018-07-13T00:00:01.586212+00:00,5310,1034
2018-07-14T00:00:01.884287+00:00,5329,1038
2018-07-15T00:00:02.233791+00:00,5344,1038
2018-07-16T00:00:01.470282+00:00,5358,1040
2018-07-17T00:00:01.734399+00:00,5380,1043
2018-07-18T00:00:01.939770+00:00,5408,1046
2018-07-19T00:00:02.216911+00:00,5451,1050
2018-07-20T00:00:01.527419+00:00,5478,1050
2018-07-21T00:00:01.943357+00:00,5494,1050
2018-07-22T00:00:02.248069+00:00,5508,1053
2018-07-23T00:00:01.454004+00:00,5525,1055
2018-07-24T00:00:01.690121+00:00,5549,1056
2018-07-25T00:00:01.853899+00:00,5581,1057
2018-07-26T00:00:02.061956+00:00,5603,1057
2018-07-27T00:00:01.265219+00:00,5627,1058
2018-07-28T00:00:01.514990+00:00,5649,1060
2018-07-29T00:00:01.766379+00:00,5656,1061
2018-07-30T00:00:01.985364+00:00,5684,1063
2018-07-31T00:00:01.240274+00:00,5709,1064
2018-08-01T00:00:01.508723+00:00,5723,1066
2018-08-02T00:00:01.753630+00:00,5753,1067
2018-08-03T00:00:01.937242+00:00,5776,1067
2018-08-04T00:00:02.085235+00:00,5797,1068
2018-08-05T00:00:01.230586+00:00,5810,1070
2018-08-06T00:00:01.380917+00:00,5823,1073
2018-08-07T00:00:01.558674+00:00,5847,1074
2018-08-08T00:00:01.925129+00:00,5865,1077
2018-08-09T00:00:03.107738+00:00,5891,1083
2018-08-10T00:00:01.336283+00:00,5911,1084
2018-08-11T00:00:01.513563+00:00,5940,1088
2018-08-12T00:00:01.777949+00:00,5954,1089
2018-08-13T00:00:02.114125+00:00,5966,1090
2018-08-14T00:00:02.287567+00:00,5984,1091
2018-08-15T00:00:01.529033+00:00,6023,1093
2018-08-16T00:00:01.829891+00:00,6046,1093
2018-08-17T00:00:02.144550+00:00,6067,1093
2018-08-18T00:00:01.348080+00:00,6089,1096
2018-08-19T00:00:01.590785+00:00,6102,1100
2018-08-20T00:00:01.854533+00:00,6128,1101
2018-08-21T00:00:02.233079+00:00,6167,1103
2018-08-22T00:00:01.393457+00:00,6195,1103
2018-08-23T00:00:02.141297+00:00,6217,1103
2018-08-24T00:00:01.411330+00:00,6236,1105
2018-08-25T00:00:01.678303+00:00,6262,1106
2018-08-26T00:00:01.979415+00:00,6279,1110
2018-08-27T00:00:01.259590+00:00,6291,1113
2018-08-28T00:00:01.542355+00:00,6373,1114
2018-08-29T00:00:01.767392+00:00,6425,1119
2018-08-30T00:00:02.112710+00:00,6491,1130
2018-08-31T00:00:01.294673+00:00,6523,1135
2018-09-01T00:00:01.481458+00:00,6557,1136
2018-09-02T00:00:01.642085+00:00,6578,1137
2018-09-03T00:00:02.239186+00:00,6590,1137
2018-09-04T00:00:01.416964+00:00,6616,1139
2018-09-05T00:00:01.614442+00:00,6662,1141
2018-09-06T00:00:02.018160+00:00,6699,1144
2018-09-07T00:00:01.517852+00:00,6740,1145
2018-09-08T00:00:01.752468+00:00,6765,1146
2018-09-09T00:00:02.003956+00:00,6785,1147
2018-09-10T00:00:01.250304+00:00,6805,1149
2018-09-11T00:00:01.782585+00:00,6848,1153
2018-09-12T00:00:02.201708+00:00,6879,1158
2018-09-13T00:00:01.646594+00:00,6918,1159
2018-09-14T00:00:01.999625+00:00,6938,1162
2018-09-15T00:00:01.215298+00:00,6970,1164
2018-09-16T00:00:01.473325+00:00,6987,1166
2018-09-17T00:00:01.712820+00:00,7008,1166
2018-09-18T00:00:01.961008+00:00,7037,1167
2018-09-19T00:00:02.263678+00:00,7059,1172
2018-09-20T00:00:01.530549+00:00,7088,1173
2018-09-21T00:00:02.449562+00:00,7123,1175
2018-09-22T00:00:01.957920+00:00,7151,1175
2018-09-23T00:00:02.408730+00:00,7177,1176
2018-09-24T00:00:02.388621+00:00,7204,1176
2018-09-25T00:00:01.639404+00:00,7256,1179
2018-09-26T00:00:01.981613+00:00,7293,1182
2018-09-27T00:00:02.268231+00:00,7332,1185
2018-09-28T00:00:01.793645+00:00,7353,1187
2018-09-29T00:00:02.127001+00:00,7380,1188
2018-09-30T00:00:01.408844+00:00,7400,1190
2018-10-01T00:00:01.611096+00:00,7430,1191
2018-10-02T00:00:01.889976+00:00,7456,1191
2018-10-03T00:00:02.243252+00:00,7498,1198
2018-10-04T00:00:01.536892+00:00,7519,1199
2018-10-05T00:00:02.027137+00:00,7547,1200
2018-10-06T00:00:01.380281+00:00,7565,1201
2018-10-07T00:00:01.690306+00:00,7586,1203
2018-10-08T00:00:01.987042+00:00,7608,1206
2018-10-09T00:00:01.473170+00:00,7630,1208
2018-10-10T00:00:01.879926+00:00,7661,1209
2018-10-11T00:00:02.290636+00:00,7677,1209
2018-10-12T00:00:01.776284+00:00,7705,1210
2018-10-13T00:00:02.046808+00:00,7740,1210
2018-10-14T00:00:01.920398+00:00,7762,1210
2018-10-15T00:00:02.339989+00:00,7782,1211
2018-10-16T00:00:01.768969+00:00,7804,1212
2018-10-17T00:00:02.148083+00:00,7835,1218
2018-10-18T00:00:01.440386+00:00,7863,1218
2018-10-19T00:00:01.740304+00:00,7878,1220
2018-10-20T00:00:02.086653+00:00,7904,1223
2018-10-21T00:00:01.432073+00:00,7930,1223
2018-10-22T00:00:01.817082+00:00,7964,1224
2018-10-23T00:00:02.193947+00:00,7998,1228
